seed,validation_objective
0,0.6992128863794621
1,0.7065771595183973
2,0.6946176367227882
3,0.7006573644225459
4,0.7029539035150624
5,0.705179782720298
6,0.6979296661663859
7,0.6975863555268552
8,0.6974580901463163
9,0.7059298512981055
10,0.7015801078156053
11,0.7013809116323901
