start,train_loss
1,0.15872013390580206
2,0.15975596622429505
3,0.1462935054434847
4,0.14745128707904648
5,0.1544383382501712
6,0.14899588365286545
7,0.15843207860870914
8,0.15243076292731952
9,0.1540802002438344
10,0.14816522819545083
