model,train_loss,train_accuracy,test_accuracy,precision,recall,f1,roc_auc
Correlation + random,0.15045785743889512,0.9662716499544212,0.9636363636363636,0.9242424242424242,1.0,0.9606299212598425,0.9999464266580949
Random + multistart,0.1462935054434847,0.9653600729261622,0.9636363636363636,0.9242424242424242,1.0,0.9606299212598425,0.9999464266580949
Correlation + |margin|,0.17374394523221798,0.97538742023701,0.9709090909090909,0.9384615384615385,1.0,0.9682539682539683,0.9990892531876138
Steepest gradient,0.8313992049532601,0.8422971741112124,0.8581818181818182,0.8429752066115702,0.8360655737704918,0.8395061728395061,0.9254259080681453
sklearn SGDClassifier,,0.96718322698268,0.96,0.9172932330827067,1.0,0.9568627450980393,1.0
